"maxTp","minTp","date"
"N.C.","N.C.","lundi 29 mars 2021"
"15.8 °C","4.4 °C","mardi 26 octobre 2021"
"15.5 °C","7.7 °C","mardi 11 mai 2021"
"8.6 °C","4.9 °C","samedi 27 février 2021"
"10.7 °C","0.5 °C","dimanche 7 novembre 2021"
"17.4 °C","5.1 °C","samedi 6 février 2021"
"15.4 °C","6.7 °C","mercredi 5 mai 2021"
"19.4 °C","12 °C","mercredi 18 août 2021"
"29.6 °C","11.4 °C","jeudi 22 juillet 2021"
"17.6 °C","-2.6 °C","lundi 1 mars 2021"
"21.4 °C","-0.7 °C","jeudi 25 février 2021"
"28 °C","11.2 °C","jeudi 29 juillet 2021"
"16.8 °C","7.5 °C","mardi 2 février 2021"
"21 °C","9 °C","dimanche 16 mai 2021"
"6.2 °C","-7 °C","mardi 12 janvier 2021"
"10 °C","0.7 °C","mercredi 27 janvier 2021"
"29.6 °C","12.8 °C","mercredi 8 septembre 2021"
"26.4 °C","8.1 °C","vendredi 24 septembre 2021"
"9 °C","4.7 °C","mercredi 13 janvier 2021"
"21.1 °C","5.3 °C","dimanche 25 avril 2021"
"9.5 °C","6.1 °C","lundi 8 novembre 2021"
"23.6 °C","13.7 °C","dimanche 26 septembre 2021"
"21.5 °C","3.1 °C","mercredi 24 février 2021"
"14.9 °C","6.1 °C","jeudi 28 janvier 2021"
"20.2 °C","7.2 °C","mardi 27 avril 2021"
"N.C.","N.C.","mardi 26 janvier 2021"
"15.5 °C","6.4 °C","dimanche 11 avril 2021"
"17.8 °C","8.7 °C","vendredi 29 octobre 2021"
"26.5 °C","13.1 °C","dimanche 25 juillet 2021"
"11.6 °C","9.3 °C","lundi 4 octobre 2021"
"0.1 °C","-4.6 °C","samedi 13 février 2021"
"10.3 °C","0.3 °C","mercredi 1 décembre 2021"
"27.9 °C","12.3 °C","samedi 12 juin 2021"
"31.2 °C","14.5 °C","mercredi 11 août 2021"
"1.6 °C","-1.4 °C","jeudi 7 janvier 2021"
"13.4 °C","5.9 °C","vendredi 22 octobre 2021"
"12.5 °C","1.2 °C","jeudi 11 novembre 2021"
"5.7 °C","0.4 °C","vendredi 26 novembre 2021"
"19.6 °C","3.7 °C","jeudi 28 octobre 2021"
"23.9 °C","15.1 °C","vendredi 10 septembre 2021"
"25.7 °C","14.4 °C","vendredi 30 juillet 2021"
"N.C.","N.C.","mardi 30 mars 2021"
"16.1 °C","-1.5 °C","jeudi 25 mars 2021"
"13.3 °C","5.1 °C","vendredi 8 octobre 2021"
"9.9 °C","7.2 °C","samedi 1 mai 2021"
"22.7 °C","17.5 °C","samedi 24 juillet 2021"
"12.2 °C","6.3 °C","mercredi 21 avril 2021"
"12.4 °C","6.4 °C","mercredi 3 novembre 2021"
"19.1 °C","3.8 °C","jeudi 20 mai 2021"
"14.7 °C","1.7 °C","lundi 11 octobre 2021"
"12.2 °C","0.8 °C","dimanche 18 avril 2021"
"25.3 °C","18 °C","dimanche 22 août 2021"
"15.6 °C","-7.4 °C","jeudi 8 avril 2021"
"15 °C","2.6 °C","samedi 13 mars 2021"
"28.5 °C","13.4 °C","lundi 19 juillet 2021"
"1.9 °C","-2.1 °C","samedi 16 janvier 2021"
"20.7 °C","11.7 °C","vendredi 27 août 2021"
"25 °C","14.8 °C","vendredi 3 septembre 2021"
"6.9 °C","5.3 °C","mardi 16 novembre 2021"
"19.2 °C","6.2 °C","samedi 22 mai 2021"
"19.9 °C","7.7 °C","lundi 24 mai 2021"
"13.5 °C","5.5 °C","mercredi 3 mars 2021"
"13.9 °C","8 °C","mercredi 13 octobre 2021"
"16.1 °C","8.4 °C","vendredi 7 mai 2021"
"18.2 °C","-0.7 °C","mardi 2 mars 2021"
"7.8 °C","-4.8 °C","mercredi 7 avril 2021"
"24.4 °C","11.4 °C","jeudi 1 juillet 2021"
"19 °C","11.9 °C","vendredi 21 mai 2021"
