"maxTp","minTp","date"
"15.4 °C","6.7 °C","Mon Apr 05 00:00:00 CEST 2021"
"25.7 °C","14.4 °C","Wed Jun 30 00:00:00 CEST 2021"
"18.3 °C","5.5 °C","Fri Jan 22 00:00:00 CET 2021"
"33.4 °C","13.9 °C","Wed Jun 23 00:00:00 CEST 2021"
"26.6 °C","10.3 °C","Thu Aug 12 00:00:00 CEST 2021"
"15.8 °C","4.4 °C","Sun Sep 26 00:00:00 CEST 2021"
"-0.6 °C","-2.1 °C","Thu Dec 10 00:00:00 CET 2020"
"19 °C","4.5 °C","Mon Mar 22 00:00:00 CET 2021"
"15.6 °C","13 °C","Fri Aug 20 00:00:00 CEST 2021"
"26.4 °C","8.1 °C","Tue Aug 24 00:00:00 CEST 2021"
"21.9 °C","8.3 °C","Tue May 25 00:00:00 CEST 2021"
"23.9 °C","15.8 °C","Fri Jun 04 00:00:00 CEST 2021"
"19.6 °C","11.9 °C","Wed May 05 00:00:00 CEST 2021"
"22.6 °C","12.8 °C","Thu Jul 01 00:00:00 CEST 2021"
"18.9 °C","8.6 °C","Sat Jan 23 00:00:00 CET 2021"
"28.8 °C","12.2 °C","Mon Jun 21 00:00:00 CEST 2021"
"29 °C","20.4 °C","Mon May 17 00:00:00 CEST 2021"
"20.7 °C","11.7 °C","Tue Jul 27 00:00:00 CEST 2021"
"25.5 °C","14 °C","Sat Jun 26 00:00:00 CEST 2021"
"25.3 °C","18 °C","Thu Jul 22 00:00:00 CEST 2021"
"30.2 °C","15.8 °C","Tue May 18 00:00:00 CEST 2021"
"16.8 °C","7.5 °C","Sat Jan 02 00:00:00 CET 2021"
"25.9 °C","11.7 °C","Sun May 09 00:00:00 CEST 2021"
"10.7 °C","0.5 °C","Thu Oct 07 00:00:00 CEST 2021"
"21.5 °C","3.1 °C","Sun Jan 24 00:00:00 CET 2021"
"28.3 °C","19 °C","Sat Aug 14 00:00:00 CEST 2021"
"8.7 °C","2.3 °C","Mon Feb 22 00:00:00 CET 2021"
"23 °C","10.6 °C","Sun May 23 00:00:00 CEST 2021"
"17.4 °C","13.1 °C","Thu May 06 00:00:00 CEST 2021"
"9.2 °C","4.1 °C","Mon Feb 15 00:00:00 CET 2021"
"12.1 °C","-4.1 °C","Sat Dec 19 00:00:00 CET 2020"
"0.1 °C","-1.3 °C","Thu Dec 03 00:00:00 CET 2020"
"13.5 °C","1.8 °C","Mon Jan 04 00:00:00 CET 2021"
"0.1 °C","-1.1 °C","Wed Dec 02 00:00:00 CET 2020"
"N.C.","N.C.","Sun Feb 28 00:00:00 CET 2021"
"20.6 °C","14.1 °C","Fri May 07 00:00:00 CEST 2021"
"25.8 °C","12.8 °C","Fri Jun 11 00:00:00 CEST 2021"
"7.4 °C","0.8 °C","Wed Oct 27 00:00:00 CEST 2021"
