Heure;Nb.;Visi;Temperature
23 h;08/08;16.3 km;4.7
22 h;08/08;13.5 km;5.2
21 h;08/08;16.9 km;5.2
20 h;08/08;20.7 km;5.3
19 h;08/08;21.1 km;5.4
18 h;08/08;5.9 km;5.4
17 h;08/08;5.3 km;5.8
16 h;08/08;12 km;6.4
15 h;08/08;19.6 km;6.6
14 h;08/08;19.6 km;6.7
13 h;08/08;19.9 km;6.8
12 h;08/08;13 km;6.7
11 h;08/08;8.1 km;6.5
10 h;08/08;5.9 km;6.4
9 h;08/08;3.8 km;6.3
8 h;08/08;3.3 km;6.2
7 h;08/08;3.2 km;6.2
6 h;08/08;3.6 km;6.2
5 h;08/08;3.4 km;6.3
4 h;08/08;2.9 km;6.4
3 h;08/08;3.8 km;6.5
2 h;08/08;4 km;6.6
1 h;08/08;5.1 km;6.7
0 h;08/08;3 km;6.9
