time,outsideTemp,humidity,day
23 h,7 °C,95%,15-10-2021
22 h,7.1 °C,92%,15-10-2021
21 h,7.1 °C,91%,15-10-2021
20 h,7.1 °C,90%,15-10-2021
19 h,7.1 °C,91%,15-10-2021
18 h,7.3 °C,97%,15-10-2021
17 h,7.1 °C,96%,15-10-2021
16 h,7.5 °C,91%,15-10-2021
15 h,7.5 °C,90%,15-10-2021
14 h,7.8 °C,91%,15-10-2021
13 h,7.8 °C,91%,15-10-2021
12 h,7.4 °C,93%,15-10-2021
11 h,7.2 °C,97%,15-10-2021
10 h,7.2 °C,98%,15-10-2021
09 h,7.2 °C,99%,15-10-2021
08 h,7.2 °C,99%,15-10-2021
07 h,7.3 °C,99%,15-10-2021
06 h,7.4 °C,99%,15-10-2021
05 h,7.5 °C,99%,15-10-2021
04 h,7.5 °C,99%,15-10-2021
03 h,7.6 °C,98%,15-10-2021
02 h,7.4 °C,98%,15-10-2021
01 h,7.2 °C,98%,15-10-2021
00 h,7.5 °C,99%,15-10-2021
